rule,rule_description,row_idx,wafer_id,die_row,die_col,true_label,predicted_label,predicted_proba,contributor_rank,feature,feature_value_raw,feature_value_scaled,shap_value
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,1,feature_272,19.02858428373848,-3.0938030661318905,0.29594034919050277
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,2,feature_309,2.3285535328684395,-2.8287904093954674,0.26084072879740106
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,3,feature_169,2.055576605223011,-2.5837940949826272,0.23170752187368868
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,4,feature_241,5152.478737419507,3.328778575188433,0.2247878623172669
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,5,feature_221,0.2846675693874464,-2.722430629873097,0.21559017831489447
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,6,feature_486,6690.845024163017,2.466731678183192,0.19222768455667297
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,7,feature_280,11.50414468391348,2.456868715558451,0.1920690542424862
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,8,feature_411,0.1530965612828291,-3.297966405964253,0.1915437991841423
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,9,feature_190,3.987428060166737,2.0562654957535127,0.17876937082334926
most_confident_correct_fail,argmax(predicted_proba) among rows with true label=Fail AND predicted=Fail,67143,W_N_0065,3,12,1,1,0.9997047711961489,10,feature_426,-0.3507417890233303,-2.029234086576986,0.17283510409419994
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,1,feature_243,585.7198290895197,-3.129934533368423,-0.2988908182368381
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,2,feature_109,39.63930770101261,2.079738095082351,-0.19712078137857464
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,3,feature_285,234.40228011667287,-2.1377428669464797,-0.19236948418566222
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,4,feature_21,8.02220021355641,-2.668224463325409,-0.19236473078103042
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,5,feature_218,10.492281725357508,-2.5492526427896554,-0.18719688982897395
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,6,feature_283,5.018537914125718,-2.66557587527281,-0.18646499479174708
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,7,feature_174,-2.245343766296805,-2.0039264681632263,0.17476173296583983
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,8,feature_473,84.12005838748817,-2.449846192497465,-0.17430763000700028
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,9,feature_349,119.31151547695092,1.8975751170184112,-0.16083537824962552
most_confident_correct_pass,argmin(predicted_proba) among rows with true label=Pass AND predicted=Pass,17983,W_N_0039,12,16,0,0,8.501759485959267e-05,10,feature_262,1877.583494804576,1.708951438938649,-0.1588567664382964
borderline_near_threshold,argmin(|predicted_proba - 0.42|) over all eligible rows,127394,W_N_0064,28,19,1,0,0.4197078898364068,1,feature_282,5.732259042930995,2.4798246591643758,-0.2421996445030308
borderline_near_threshold,argmin(|predicted_proba - 0.42|) over all eligible rows,127394,W_N_0064,28,19,1,0,0.4197078898364068,2,feature_60,8.833038298708532,2.6745775540143337,0.2374413703203393
borderline_near_threshold,argmin(|predicted_proba - 0.42|) over all eligible rows,127394,W_N_0064,28,19,1,0,0.4197078898364068,3,feature_403,3.361452208336834,-3.0220022830511066,0.21307083709212565
borderline_near_threshold,argmin(|predicted_proba - 0.42|) over all eligible rows,127394,W_N_0064,28,19,1,0,0.4197078898364068,4,feature_246,120.51122872911168,-2.1192555354294305,-0.1884575305974568
borderline_near_threshold,argmin(|predicted_proba - 0.42|) over all eligible rows,127394,W_N_0064,28,19,1,0,0.4197078898364068,5,feature_168,0.2235283488354784,-1.957574035217555,-0.1810014224099414
borderline_near_threshold,argmin(|predicted_proba - 0.42|) over all eligible rows,127394,W_N_0064,28,19,1,0,0.4197078898364068,6,feature_263,1.613991102038788,-2.082031896125542,0.1790804158424695
borderline_near_threshold,argmin(|predicted_proba - 0.42|) over all eligible rows,127394,W_N_0064,28,19,1,0,0.4197078898364068,7,feature_243,1271.1072832822244,1.8219518507031502,0.16255952085438713
