feature,missing_count,missing_pct,mean,std,coeff_variation,min,max,n_unique,outlier_frac_iqr,pass_mean,fail_mean,cohens_d,abs_cohens_d,near_constant,highly_variable_raw_scale
feature_171,0,0.0,2395.6827695315474,179.78755177573902,0.07504647696359845,1650.0682791597649,3230.731507243496,154037,0.007277472295617287,2393.837834455138,2437.4316777385925,0.24083635301792478,0.24083635301792478,False,False
feature_272,0,0.0,22.267723835110928,1.0469800424738094,0.04701782949288107,17.847131443376195,27.17642276399181,154037,0.0075046904315197,22.2784503389368,22.024994522120455,-0.23922130258462887,0.23922130258462887,False,False
feature_109,0,0.0,37.034770978393645,1.2523428709968607,0.033815326459760923,30.437461246467628,42.26608545279615,154037,0.006881463544473081,37.047310037818725,36.751025470145464,-0.23409228970435617,0.23409228970435617,False,False
feature_262,0,0.0,1632.302356853655,143.52773785261726,0.08792962728380434,1059.108979327346,2256.169165817702,154037,0.006946383011873771,1633.7309669992612,1599.9744367033973,-0.23349725267106816,0.23349725267106816,False,False
feature_460,0,0.0,-29.46156522470013,1.5461502010279515,0.05248024635607896,-36.185980601131405,-22.169872959725197,154037,0.007050254159714874,-29.47690482956549,-29.114446367432418,0.2327152268680152,0.2327152268680152,False,False
feature_397,0,0.0,-2265.948668927211,310.7287393133531,0.13712964621588902,-3752.750761344405,-921.9249599065704,154037,0.00701130247927446,-2262.8737204250556,-2335.531465850202,-0.23266082992592116,0.23266082992592116,False,False
feature_163,0,0.0,-76.54100691532338,7.803525607534326,0.10195222041130574,-111.6437648067936,-43.043061790729325,154037,0.0070307783194946665,-76.46515494248112,-78.25745596114986,-0.22869382789510284,0.22869382789510284,False,False
feature_245,0,0.0,4059.1056151915227,444.4148794600122,0.10948591182174577,2169.13791184074,6146.483061396412,154037,0.00738134344345839,4063.456292666749,3960.6544355949213,-0.228244111362172,0.228244111362172,False,False
feature_277,0,0.0,24.252027800747207,2.337477127372499,0.09638274978806025,13.752943050533082,33.82648859959781,154037,0.006855495757512806,24.274703445393335,23.73890220680537,-0.2281782257938449,0.2281782257938449,False,False
feature_85,0,0.0,-2.0921754317745878,0.2727927321406407,0.1303871214610609,-3.338480174669641,-0.8004562464880991,154037,0.0070307783194946665,-2.094829524593836,-2.032116148984305,0.22806147419838646,0.22806147419838646,False,False
feature_60,0,0.0,7.695983761184111,0.425135635601407,0.05524123345291405,5.988893963248064,9.728528108941711,154037,0.00682952797055253,7.691862334048397,7.7892472507080335,0.2270167880856131,0.2270167880856131,False,False
feature_436,0,0.0,351.70471928855426,9.521848966766955,0.027073418252755388,307.8730670114412,394.0708455097503,154037,0.007160617254296045,351.7966770161223,349.62381423327224,-0.22681963917979223,0.22681963917979223,False,False
feature_290,0,0.0,15.709774406427199,1.427324412694844,0.0908558185349177,9.348328206141211,22.19410260133858,154037,0.006745132662931633,15.723494226066228,15.399309556985493,-0.22612599442429152,0.22612599442429152,False,False
feature_282,0,0.0,5.226188725441974,0.20407570281937748,0.03904866692354647,4.307541102656965,6.08881652414176,154037,0.007063238053195011,5.228126155032668,5.182346765270155,-0.22478674880879262,0.22478674880879262,False,False
feature_336,0,0.0,0.1828649527873604,0.012873182888726324,0.07039721221865602,0.1219801117412349,0.2411504642795778,154037,0.0069853346923141844,0.18274095263919524,0.1856709435615627,0.22426391271975582,0.22426391271975582,False,False
feature_349,0,0.0,98.13197156350812,11.161409354530216,0.11373876603821091,50.05492466593854,147.85305530996573,154037,0.007186585041256322,98.23837250466212,95.7242320272054,-0.22418064019986114,0.22418064019986114,False,False
feature_204,0,0.0,0.24232359243254664,0.022185082849977347,0.09155147720976776,0.140943996788368,0.3407171074454987,154037,0.0068035601835922535,0.24253372629557887,0.2375684877835543,-0.22392293267783142,0.22392293267783142,False,False
feature_365,0,0.0,6.62923074672212,0.8481717695007616,0.1279442218722206,2.2683228422016866,10.079113466341203,154037,0.006427027272668255,6.621234162996304,6.81018488663086,0.22094241863992,0.22094241863992,False,False
feature_209,0,0.0,3065.892916491346,457.39169166366804,0.14918710604775914,1031.896123254742,5027.874347162746,154037,0.006654245408570668,3070.1921995088987,2968.6047385218253,-0.22076723457696598,0.22076723457696598,False,False
feature_472,0,0.0,4.605987097737618,0.5583226154544225,0.12121671285806707,2.3145082765082425,6.918069891639548,154037,0.007225536721696735,4.600716226404004,4.725261280494467,0.220668175310728,0.220668175310728,False,False
feature_235,0,0.0,52.75489459186847,5.777215137187655,0.10951050479547622,26.73043288970929,78.39415689350623,154037,0.006946383011873771,52.80876723553745,51.535814265321406,-0.21952165253004555,0.21952165253004555,False,False
feature_457,0,0.0,3.1548414277321024,0.2804572075659397,0.0888974022911668,1.8705497336506496,4.569447109135317,154037,0.007024286372754598,3.1522281662201763,3.2139767416938008,0.2194979992659206,0.2194979992659206,False,False
feature_242,0,0.0,591.279119635064,72.13082824239682,0.12199116432001823,269.4785025927237,884.1202233383002,154037,0.00706972999993508,590.6016552804236,606.6094136476188,0.21944387234790033,0.21944387234790033,False,False
feature_246,0,0.0,133.22017706746612,5.996912301983402,0.04501504527310762,107.36561132749183,158.94436702377666,154037,0.007024286372754598,133.16436183379702,134.4832161287332,0.21941202183768385,0.21941202183768385,False,False
feature_244,0,0.0,221.51847044231397,10.32990795431707,0.04663226472127118,178.36993362998678,268.4076849453563,154037,0.0068490038107727365,221.6149933855211,219.33425943816732,-0.21813071123530212,0.21813071123530212,False,False
feature_8,0,0.0,3.4948180754903966,0.40022893972939527,0.11452067921253233,1.746485607710537,5.13859619102538,154037,0.006946383011873771,3.4911142562675788,3.578631544444481,0.2181138309606903,0.2181138309606903,False,False
feature_285,0,0.0,336.8573974358656,47.92692866459674,0.14227661030873326,108.11427051831504,554.7871875023218,154037,0.006498438686809014,336.41318897316836,346.90936000683917,0.21809211036578507,0.21809211036578507,False,False
feature_396,0,0.0,0.48115990441288614,0.011318424456827758,0.023523207883746174,0.4270492050347433,0.532696074500146,154037,0.006913923278173426,0.4812654019949678,0.47877260692653256,-0.21746885323366288,0.21746885323366288,False,False
feature_229,0,0.0,4613.516788329953,630.0251013662852,0.13656070418123437,1926.182353684216,7498.959689612401,154037,0.007420295123898804,4607.653847899389,4746.188861720954,0.2171050549495462,0.2171050549495462,False,True
feature_225,0,0.0,0.18605313388602907,0.02602788681681611,0.1398949121317143,0.0637815453671756,0.3053723912155007,154037,0.007485214591299493,0.18581405754784178,0.19146317580299663,0.216656905821503,0.216656905821503,False,False
feature_387,0,0.0,0.2065771028069334,0.00551637002028927,0.0267036856715183,0.1834572027295192,0.2318603425673987,154037,0.007160617254296045,0.2065260418840829,0.20773255689760076,0.2157759862520156,0.2157759862520156,False,False
feature_238,0,0.0,362.19826137577917,14.550076821301538,0.040171581072847545,300.5255971502749,427.94095792705394,154037,0.006693197089011082,362.33160946855435,359.18073660970987,-0.21566590928457408,0.21566590928457408,False,False
feature_178,0,0.0,14.259394983900952,1.2311970824624219,0.08634286965558215,8.204920315931124,20.52824011540016,154037,0.006777592396631978,14.248099265182494,14.515005021316128,0.2152539970797603,0.2152539970797603,False,False
feature_33,0,0.0,783.8823932894455,20.23086678417937,0.025808548523820717,691.7848019236741,874.0533813932091,154037,0.0072190447749566665,784.0683719441018,779.673895179677,-0.21498260134104724,0.21498260134104724,False,False
feature_263,0,0.0,2.30601606750115,0.33238069649927243,0.1441363315648739,0.7999559360900134,3.752145458362633,154037,0.006874971597733012,2.309051716804402,2.2373225694313406,-0.21436215966731736,0.21436215966731736,False,False
feature_276,0,0.0,1.2985438461037044,0.05002269455851769,0.03852214517716237,1.0968632474137492,1.521486949968612,154037,0.006784084343372047,1.298088005116769,1.3088590402608977,0.21381924884627873,0.21381924884627873,False,False
feature_446,0,0.0,29.851901590977832,3.6461651443323726,0.12214180504448523,14.398570901909682,46.81137688977861,154037,0.006881463544473081,29.81835984564499,30.610915425616433,0.21362888621882983,0.21362888621882983,False,False
feature_255,0,0.0,1.65522983867113,0.14574830715080336,0.08805321396804607,0.9826476049343448,2.392401576824686,154037,0.0063945675389679105,1.6539067287759743,1.685170400952701,0.21159590313188872,0.21159590313188872,False,False
feature_183,0,0.0,-205.01255352884252,26.43084248594131,0.12892304413067487,-327.2816198205244,-95.15515661371973,154037,0.006647753461830599,-205.2504063040657,-199.63019953353987,0.2114225705332307,0.2114225705332307,False,False
feature_205,0,0.0,7.869325041992058,0.8661130278025833,0.11006192058160728,3.98792981192872,12.142966767035832,154037,0.00682952797055253,7.861531346158154,8.04568804583094,0.21136182183275193,0.21136182183275193,False,False
feature_58,0,0.0,-151.6609382316695,14.07037344286805,0.09277519713991791,-217.13169561107904,-90.64472934248352,154037,0.006978842745574115,-151.7878880016656,-148.78820066911612,0.21129746452845302,0.21129746452845302,False,False
feature_29,0,0.0,-2933.0319712103797,131.01606766052814,0.04466915769979197,-3547.7636504671145,-2358.0188822269856,154037,0.007329407869537838,-2934.2109129726146,-2906.3537796347923,0.21066900939559285,0.21066900939559285,False,False
feature_223,0,0.0,0.8876302137038019,0.0766392991858327,0.08634147193575238,0.562311200760089,1.222426226947043,154037,0.007082713893415219,0.8883233795380925,0.8719446119945078,-0.21066439561615433,0.21066439561615433,False,False
feature_362,0,0.0,3435.9583930556037,307.58645336148305,0.08951984226093783,2025.3193964294744,4835.888479872122,154037,0.007121665573855632,3433.1761165634575,3498.918335311852,0.2103877380168251,0.2103877380168251,False,False
feature_123,0,0.0,129.56886007557193,9.400035971488435,0.07254857352303477,84.43007224076179,170.81656414391875,154037,0.006686705142271013,129.6531719106271,127.66097339300327,-0.20999947510589573,0.20999947510589573,False,False
feature_243,0,0.0,1018.9320830127124,138.4098151277485,0.13583811662746678,348.00107894461735,1597.1898218598683,154037,0.006926907171653564,1017.6991311964086,1046.8324643652995,0.20984055016802033,0.20984055016802033,False,False
feature_113,0,0.0,-11.324745555486556,0.3735536057900475,0.03298560695777135,-12.968020367032556,-9.710350716277448,154037,0.007348883709758045,-11.328098408849453,-11.248874068695958,0.2096844672570498,0.2096844672570498,False,False
feature_309,0,0.0,3.4358202854850908,0.39142891007933506,0.11392589761838218,1.6617447811879067,5.208238486732922,154037,0.006933399118393632,3.439288203067634,3.3573450184285334,-0.20947616186268792,0.20947616186268792,False,False
